,first,last,season_code,installment,brand,brand_season,year,total_houseguests,total_days,age,age_group,gender,oringal_race_ethnicity,race_ethnicity,latinx_hispanic,biracial,biracial_one,biracial_two,lgbts,person_with_disability,hometown,homestate,appearance,comeback_sequester,came_back,first_eviction_day,first_eviction_week,day_of_comeback_sequester_end,days_of_comeback_sequesters,weeks_of_comeback_sequester,made_jury,days_of_jury_sequester,final_eviction_day,final_eviction_week,days_in_game_including_sequester,total_days_in_game_excluding_sequester,weeks_in_game_including_sequester,weeks_in_game_excluding_sequester,afp,ejected,self_evicted,total_vetos,total_hoh,other_comp_wins,total_nominations,total_wins,final_placement,placement_rank_percent,name
191,Jeremy,McGuire,bbus15,15,regular,13,2013,16,90,23,20-somethings,male,white,white,no,no,,,non-lgbt,no,katy,TX,1,no,no,28,4,,,,no,0,28,4,28,28,4.0,4.0,no,no,no,1.0,0.0,0.0,2,1.0,14,0.88,Jeremy McGuire
192,Nick,Uhas,bbus15,15,regular,13,2013,16,90,28,20-somethings,male,white,white,no,no,,,non-lgbt,no,new york city,NY,1,no,no,21,3,,,,no,0,21,3,21,21,3.0,3.0,no,no,no,0.0,0.0,0.0,1,0.0,15,0.94,Nick Uhas
193,David,Griton,bbus15,15,regular,13,2013,16,90,25,20-somethings,male,white,white,no,no,,,non-lgbt,no,san diego,CA,1,no,no,13,2,,,,no,0,13,2,13,13,1.86,1.86,no,no,no,0.0,0.0,0.0,1,0.0,16,1.0,David Griton
194,Derrick,Lavasseur,bbus16,16,regular,14,2014,16,97,30,30-somethings,male,white,white,no,no,,,non-lgbt,no,providence,RI,1,no,no,97,14,,,,final,0,97,14,97,97,13.86,13.86,no,no,no,0.0,4.0,0.0,1,4.0,1,0.06,Derrick Lavasseur
195,Cody,Calafiore,bbus16,16,regular,14,2014,16,97,23,20-somethings,male,white,white,no,no,,,non-lgbt,no,howell,NJ,1,no,no,97,14,,,,final,0,97,14,97,97,13.86,13.86,no,no,no,3.0,3.0,0.0,2,6.0,2,0.13,Cody Calafiore
196,Victoria,Rafaeli,bbus16,16,regular,14,2014,16,97,22,20-somethings,female,middle eastern,middle eastern,no,no,,,non-lgbt,no,weston,FL,1,no,no,97,14,,,,yes,0,97,14,97,97,13.86,13.86,no,no,no,1.0,0.0,2.0,8,3.0,3,0.19,Victoria Rafaeli
197,Caleb,Reynolds,bbus16,16,regular,14,2014,16,97,26,20-somethings,male,white,white,no,no,,,non-lgbt,no,hopskinville,KY,1,no,no,90,13,,,,yes,7,90,14,97,90,13.86,12.86,no,no,no,0.0,4.0,2.0,3,6.0,4,0.25,Caleb Reynolds
198,Frankie,Grande,bbus16,16,regular,14,2014,16,97,31,30-somethings,male,white,white,no,no,,,gay,no,new york city,NY,1,no,no,88,13,,,,yes,9,88,14,97,88,13.86,12.57,no,no,no,3.0,5.0,1.0,1,9.0,5,0.31,Frankie Grande
199,Christine,Brecht,bbus16,16,regular,14,2014,16,97,23,20-somethings,female,white,white,no,no,,,non-lgbt,no,tucson,AZ,1,no,no,77,11,,,,yes,20,77,14,97,77,13.86,11.0,no,no,no,2.0,1.0,2.0,2,5.0,6,0.38,Christine Brecht
200,Nicole,Franzel,bbus16,16,regular,14,2014,16,97,21,20-somethings,female,white,white,no,no,,,non-lgbt,no,ubly,MI,1,yes,yes,56,8,63,7,1,yes,20,77,14,97,70,13.86,10.0,no,no,no,0.0,3.0,2.0,4,5.0,7,0.44,Nicole Franzel
201,Donny,Thompson,bbus16,16,regular,14,2014,16,97,42,40-somethings,male,white,white,no,no,,,non-lgbt,no,albermarle,NC,1,no,no,70,10,,,,yes,27,70,14,97,70,13.86,10.0,yes,no,no,3.0,1.0,2.0,5,6.0,8,0.5,Donny Thompson
202,Zach,Rance,bbus16,16,regular,14,2014,16,97,23,20-somethings,male,white,white,no,no,,,non-lgbt,no,palm beach,FL,1,yes,no,63,9,63,0,0,yes,34,63,14,97,63,13.86,9.0,no,no,no,1.0,1.0,0.0,4,2.0,9,0.56,Zach Rance
203,Hayden,Voss,bbus16,16,regular,14,2014,16,97,21,20-somethings,male,white,white,no,no,,,non-lgbt,no,long beach,CA,1,yes,no,49,7,63,14,2,yes,48,49,14,97,49,13.86,7.0,no,no,no,1.0,0.0,1.0,1,2.0,10,0.63,Hayden Voss
204,Jocasta,Odom,bbus16,16,regular,14,2014,16,97,33,30-somethings,female,black,black,no,no,,,bisexual,no,lovejoy,GA,1,yes,no,49,7,63,14,2,yes,48,49,14,97,49,13.86,7.0,no,no,no,0.0,0.0,1.0,3,1.0,11,0.69,Jocasta Odom
205,Amber,Borzotra,bbus16,16,regular,14,2014,16,97,26,20-somethings,female,black,biracial,no,yes,black,white,non-lgbt,no,knoxville,TN,1,no,no,42,6,,,,no,0,42,6,42,42,6.0,6.0,no,no,no,0.0,1.0,2.0,1,3.0,12,0.75,Amber Borzotra
206,Brittany,Martinez,bbus16,16,regular,14,2014,16,97,29,20-somethings,female,white,white,no,no,,,non-lgbt,no,torrance,CA,1,no,no,35,5,,,,no,0,35,5,35,35,5.0,5.0,no,no,no,0.0,0.0,1.0,2,1.0,13,0.81,Brittany Martinez
207,Devin,Shepherd,bbus16,16,regular,14,2014,16,97,26,20-somethings,male,black,black,no,no,,,non-lgbt,no,san antonio,TX,1,no,no,28,4,,,,no,0,28,4,28,28,4.0,4.0,no,no,no,1.0,1.0,0.0,1,2.0,14,0.88,Devin Shepherd
208,"Paola ""Pow Pow""",Shea,bbus16,16,regular,14,2014,16,97,27,20-somethings,female,asian,asian,no,no,,,non-lgbt,no,queens,NY,1,no,no,21,3,,,,no,0,21,3,21,21,3.0,3.0,no,no,no,0.0,0.0,0.0,2,0.0,15,0.94,"Paola ""Pow Pow"" Shea"
209,Joey,Van Pelt,bbus16,16,regular,14,2014,16,97,27,20-somethings,female,unknown,unknown,no,no,,,non-lgbt,no,seattle,WA,1,no,no,14,2,,,,no,0,14,2,14,14,2.0,2.0,no,no,no,0.0,0.0,0.0,1,0.0,16,1.0,Joey Van Pelt
210,Steven,Moss,bbus17,17,regular,15,2015,17,98,22,20-somethings,male,white,white,no,no,,,non-lgbt,no,gouveneur,NY,1,no,no,98,14,,,,final,0,98,14,98,98,14.0,14.0,no,no,no,2.0,4.0,1.0,4,7.0,1,0.06,Steven Moss
211,Liz,Nolan,bbus17,17,regular,15,2015,17,98,23,20-somethings,female,white,white,no,no,,,non-lgbt,no,miami,FL,1,no,no,98,14,,,,final,0,98,14,98,98,14.0,14.0,no,no,no,1.0,3.0,1.0,3,5.0,2,0.12,Liz Nolan
212,Vanessa,Rousso,bbus17,17,regular,15,2015,17,98,32,30-somethings,female,white,white,no,no,,,lesbian,no,las vegas,NV,1,no,no,98,14,,,,yes,0,98,14,98,98,14.0,14.0,no,no,no,3.0,4.0,0.0,3,7.0,3,0.18,Vanessa Rousso
213,"John ""Johnny Mac""",McGuire,bbus17,17,regular,15,2015,17,98,27,20-somethings,male,white,white,no,no,,,non-lgbt,no,jefferson township,PA,1,yes,yes,71,10,71,0,0,yes,27,71,14,98,71,14.0,10.14,no,no,no,4.0,0.0,1.0,8,5.0,4,0.24,"John ""Johnny Mac"" McGuire"
214,Austin,Matelson,bbus17,17,regular,15,2015,17,98,30,30-somethings,male,white,white,no,no,,,non-lgbt,no,woodland hills,CA,1,no,no,89,13,,,,yes,9,89,14,98,89,14.0,12.71,no,no,no,1.0,2.0,0.0,2,3.0,5,0.29,Austin Matelson
215,Julia,Nolan,bbus17,17,regular,15,2015,17,98,23,20-somethings,female,white,white,no,no,,,non-lgbt,no,miami,FL,1,no,no,85,12,,,,yes,13,85,14,98,85,14.0,12.14,no,no,no,1.0,0.0,0.0,2,1.0,6,0.35,Julia Nolan
216,James,Huling,bbus17,17,regular,15,2015,17,98,31,30-somethings,male,asian,asian,no,no,,,non-lgbt,no,wichita falls,TX,1,no,no,78,11,,,,yes,20,78,14,98,78,14.0,11.14,yes,no,no,2.0,2.0,2.0,3,6.0,7,0.41,James Huling
217,Meg,Maley,bbus17,17,regular,15,2015,17,98,25,20-somethings,female,white,white,no,no,,,non-lgbt,no,new york city,NY,1,no,no,78,11,,,,yes,20,78,14,98,78,14.0,11.14,no,no,no,0.0,0.0,1.0,3,1.0,8,0.47,Meg Maley
218,Becky,Burgess,bbus17,17,regular,15,2015,17,98,26,20-somethings,female,white,white,no,no,,,non-lgbt,no,denver,CO,1,yes,no,64,9,71,7,1,yes,34,64,14,98,64,14.0,9.14,no,no,no,0.0,2.0,1.0,2,3.0,9,0.53,Becky Burgess
219,Jackie,Ibarra,bbus17,17,regular,15,2015,17,98,27,20-somethings,female,latinx,other-latinx,yes,no,,,non-lgbt,no,las vegas,NV,1,yes,no,57,8,71,14,2,yes,41,57,14,98,57,14.0,8.14,no,no,no,0.0,1.0,1.0,2,2.0,10,0.59,Jackie Ibarra
220,Shelli,Poole,bbus17,17,regular,15,2015,17,98,33,30-somethings,female,white,white,no,no,,,non-lgbt,no,atlanta,GA,1,yes,no,57,8,71,14,2,yes,41,57,14,98,57,14.0,8.14,no,no,no,0.0,2.0,0.0,2,2.0,11,0.65,Shelli Poole
221,Clay,Honeycutt,bbus17,17,regular,15,2015,17,98,23,20-somethings,male,white,white,no,no,,,non-lgbt,no,college station,TX,1,no,no,50,7,,,,no,0,50,8,50,50,7.14,7.14,no,no,no,0.0,0.0,0.0,2,0.0,12,0.71,Clay Honeycutt
222,Jason,Roy,bbus17,17,regular,15,2015,17,98,25,20-somethings,male,white,white,no,no,,,gay,no,swansea,MA,1,no,no,43,6,,,,no,0,43,7,43,43,6.14,6.14,no,no,no,0.0,1.0,2.0,2,3.0,13,0.76,Jason Roy
223,Audrey,Middleton,bbus17,17,regular,15,2015,17,98,25,20-somethings,female,white,white,no,no,,,transgender,no,villa rica,GA,1,no,no,36,5,,,,no,0,36,6,36,36,5.14,5.14,no,no,no,0.0,0.0,0.0,1,0.0,14,0.82,Audrey Middleton
224,Jeff,Weldon,bbus17,17,regular,15,2015,17,98,26,20-somethings,male,white,white,no,no,,,non-lgbt,no,tampa,FL,1,no,no,29,4,,,,no,0,29,5,29,29,4.14,4.14,no,no,no,0.0,0.0,0.0,1,0.0,15,0.88,Jeff Weldon
225,Da'Vonne,Rogers,bbus17,17,regular,15,2015,17,98,27,20-somethings,female,black,black,no,no,,,non-lgbt,no,los angeles,CA,1,no,no,22,3,,,,no,0,22,4,22,22,3.14,3.14,no,no,no,0.0,0.0,0.0,1,0.0,16,0.94,Da'Vonne Rogers
226,Jace,Agolli,bbus17,17,regular,15,2015,17,98,23,20-somethings,male,white,white,no,no,,,non-lgbt,no,venice beach,CA,1,no,no,15,2,,,,no,0,15,3,15,15,2.14,2.14,no,no,no,0.0,0.0,0.0,1,0.0,17,1.0,Jace Agolli
227,Nicole,Franzel,bbus18,18,regular,16,2016,16,99,23,20-somethings,female,white,white,no,no,,,non-lgbt,no,ubly,MI,2,no,no,99,14,,,,final,0,99,15,99,99,14.14,14.14,no,no,no,2.0,2.0,0.0,3,4.0,1,0.06,Nicole Franzel
228,Paul,Abrahamian,bbus18,18,regular,16,2016,16,99,23,20-somethings,male,armenian,armenian,no,no,,,non-lgbt,no,tarzana,CA,1,no,no,99,14,,,,final,0,99,15,99,99,14.14,14.14,no,no,no,3.0,3.0,0.0,6,6.0,2,0.13,Paul Abrahamian
229,James,Huling,bbus18,18,regular,16,2016,16,99,32,30-somethings,male,asian,asian,no,no,,,non-lgbt,no,wichita falls,TX,2,no,no,99,14,,,,yes,0,99,15,99,99,14.14,14.14,no,no,no,0.0,1.0,0.0,2,1.0,3,0.19,James Huling
230,Corey,Brooks,bbus18,18,regular,16,2016,16,99,25,20-somethings,male,white,white,no,no,,,non-lgbt,no,dallas,TX,1,no,no,92,13,,,,yes,7,92,15,99,92,14.14,13.14,no,no,no,3.0,2.0,0.0,5,5.0,4,0.25,Corey Brooks
231,Victor,Arroyo,bbus18,18,regular,16,2016,16,99,25,20-somethings,male,latinx,other-latinx,yes,no,,,non-lgbt,no,slidell,LA,1,yes,yes,23,3,37,14,2,yes,9,90,15,99,76,14.14,10.86,yes,no,no,1.0,3.0,1.0,3,5.0,5,0.31,Victor Arroyo
232,Natalie,Negrotti,bbus18,18,regular,16,2016,16,99,26,20-somethings,female,latinx,other-latinx,yes,no,,,non-lgbt,no,franklin park,NJ,1,no,no,86,12,,,,yes,13,86,15,99,86,14.14,12.29,no,no,no,0.0,0.0,0.0,2,0.0,6,0.38,Natalie Negrotti
233,Michelle,Meyer,bbus18,18,regular,16,2016,16,99,23,20-somethings,female,white,white,no,no,,,non-lgbt,no,washington township,MI,1,no,no,79,11,,,,yes,20,79,15,99,79,14.14,11.29,no,no,no,1.0,1.0,0.0,3,2.0,7,0.44,Michelle Meyer
234,Paulie,Calafiore,bbus18,18,regular,16,2016,16,99,27,20-somethings,male,white,white,no,no,,,non-lgbt,no,howell,NJ,1,no,no,65,9,,,,yes,34,65,15,99,65,14.14,9.29,no,no,no,3.0,2.0,0.0,3,5.0,8,0.5,Paulie Calafiore
235,Bridgette,Dunning,bbus18,18,regular,16,2016,16,99,24,20-somethings,female,asian,biracial,no,yes,asian,white,non-lgbt,no,ventura,CA,1,no,no,58,8,,,,yes,41,58,15,99,58,14.14,8.29,no,no,no,1.0,1.0,0.0,4,2.0,9,0.56,Bridgette Dunning
236,Zakiya,Everette,bbus18,18,regular,16,2016,16,99,24,20-somethings,female,black,black,no,no,,,non-lgbt,no,charlotte,NC,1,no,no,58,8,,,,yes,41,58,15,99,58,14.14,8.29,no,no,no,0.0,0.0,0.0,1,0.0,10,0.63,Zakiya Everette
237,Da'Vonne,Rogers,bbus18,18,regular,16,2016,16,99,28,20-somethings,female,black,black,no,no,,,non-lgbt,no,lancaster,CA,2,no,no,51,7,,,,yes,48,51,15,99,51,14.14,7.29,no,no,no,0.0,0.0,0.0,2,0.0,11,0.69,Da'Vonne Rogers
238,Frank,Eudy,bbus18,18,regular,16,2016,16,99,32,30-somethings,male,white,white,no,no,,,non-lgbt,no,charlotte,NC,2,no,no,44,6,,,,no,0,44,7,44,44,6.29,6.29,no,no,no,0.0,0.0,2.0,1,2.0,12,0.75,Frank Eudy
239,Tiffany,Rousso,bbus18,18,regular,16,2016,16,99,32,30-somethings,female,white,white,no,no,,,lesbian,no,palm beach gardens,FL,1,yes,no,37,5,37,0,0,no,0,37,6,37,37,5.29,5.29,no,no,no,0.0,0.0,1.0,4,1.0,13,0.81,Tiffany Rousso
240,Bronte,D'Acquisto,bbus18,18,regular,16,2016,16,99,26,20-somethings,female,white,white,no,no,,,non-lgbt,no,denver,CO,1,yes,no,30,4,30,0,0,no,0,30,5,30,30,4.29,4.29,no,no,no,0.0,0.0,0.0,2,0.0,14,0.88,Bronte D'Acquisto
241,Jozea,Flores,bbus18,18,regular,16,2016,16,99,25,20-somethings,male,latinx,black-latinx,yes,no,,,gay,no,los angeles,CA,1,yes,no,16,2,23,7,1,no,0,16,3,16,16,2.29,2.29,no,no,no,0.0,0.0,0.0,1,0.0,15,0.94,Jozea Flores
242,Glenn,Garcia,bbus18,18,regular,16,2016,16,99,50,50+,male,latinx,other-latinx,yes,no,,,non-lgbt,no,bronx,NY,1,yes,no,2,0,16,14,2,no,0,2,1,2,2,0.29,0.29,no,no,no,0.0,0.0,0.0,1,0.0,16,1.0,Glenn Garcia
243,Morgan,Willett,bbott1,19,over the top,1,2016,13,65,22,20-somethings,female,white,white,no,no,,,non-lgbt,no,austin,TX,1,no,no,65,9,,,,no,0,65,10,65,65,9.29,9.29,no,no,no,2.0,1.0,0.0,5,3.0,1,0.08,Morgan Willett
244,Jason,Roy,bbott1,19,over the top,1,2016,13,65,27,20-somethings,male,white,white,no,no,,,gay,no,swansea,MA,2,no,no,65,9,,,,no,0,65,10,65,65,9.29,9.29,no,no,no,3.0,2.0,0.0,3,5.0,2,0.15,Jason Roy
245,Kryssie,Ridolfi,bbott1,19,over the top,1,2016,13,65,31,30-somethings,female,white,white,no,no,,,unknown,no,schaumburg,IL,1,no,no,65,9,,,,no,0,65,10,65,65,9.29,9.29,no,no,no,0.0,1.0,0.0,4,1.0,3,0.23,Kryssie Ridolfi
246,Justin,Ducan,bbott1,19,over the top,1,2016,13,65,27,20-somethings,male,black,black,no,no,,,non-lgbt,no,new orleans,LA,1,no,no,63,9,,,,no,0,63,9,63,63,9.0,9.0,no,no,no,1.0,0.0,0.0,2,1.0,4,0.31,Justin Ducan
247,Shelby,Stockton,bbott1,19,over the top,1,2016,13,65,24,20-somethings,female,white,white,no,no,,,non-lgbt,no,simi valley,CA,1,no,no,57,8,,,,no,0,57,9,57,57,8.14,8.14,no,no,no,1.0,1.0,0.0,2,2.0,5,0.38,Shelby Stockton
248,"Danielle ""Dani""",Lickey,bbott1,19,over the top,1,2016,13,65,23,20-somethings,female,black,biracial,no,yes,black,white,non-lgbt,no,visalia,CA,1,no,no,50,7,,,,no,0,50,8,50,50,7.14,7.14,no,no,no,1.0,2.0,0.0,5,3.0,6,0.46,"Danielle ""Dani"" Lickey"
249,Whitney,Hogg,bbott1,19,over the top,1,2016,13,65,21,20-somethings,female,white,white,no,no,,,non-lgbt,no,whitesburg,KY,1,no,no,43,6,,,,no,0,43,7,43,43,6.14,6.14,no,no,no,0.0,0.0,0.0,4,0.0,7,0.54,Whitney Hogg
250,Alex,Willett,bbott1,19,over the top,1,2016,13,65,25,20-somethings,female,white,white,no,no,,,non-lgbt,no,dallas,TX,1,no,no,43,6,,,,no,0,43,7,43,43,6.14,6.14,no,no,no,1.0,1.0,0.0,1,2.0,8,0.62,Alex Willett
251,Scott,Dennis,bbott1,19,over the top,1,2016,13,65,24,20-somethings,male,white,white,no,no,,,non-lgbt,no,bangor,ME,1,no,no,36,5,,,,no,0,36,6,36,36,5.14,5.14,no,no,no,0.0,1.0,0.0,2,1.0,9,0.69,Scott Dennis
252,Neeley,Jackson,bbott1,19,over the top,1,2016,13,65,33,30-somethings,female,black,black,no,no,,,non-lgbt,no,fort worth,TX,1,no,no,29,4,,,,no,0,29,5,29,29,4.14,4.14,no,no,no,0.0,0.0,0.0,2,0.0,10,0.77,Neeley Jackson
253,Shane,Chapman,bbott1,19,over the top,1,2016,13,65,24,20-somethings,male,white,white,no,no,,,non-lgbt,no,pisgah forest,NC,1,no,no,22,3,,,,no,0,22,4,22,22,3.14,3.14,no,no,no,1.0,0.0,0.0,2,1.0,11,0.85,Shane Chapman
254,Monte,Massongill,bbott1,19,over the top,1,2016,13,65,25,20-somethings,male,white,white,no,no,,,non-lgbt,no,olive branch,MS,1,no,no,15,2,,,,no,0,15,3,15,15,2.14,2.14,no,no,no,0.0,0.0,0.0,1,0.0,12,0.92,Monte Massongill
255,"Michael ""Cornbread""",Ligon,bbott1,19,over the top,1,2016,13,65,41,40-somethings,male,white,white,no,no,,,non-lgbt,no,augusta,GA,1,no,no,8,1,,,,no,0,8,2,8,8,1.14,1.14,no,no,no,0.0,0.0,0.0,1,0.0,13,1.0,"Michael ""Cornbread"" Ligon"
256,Josh,Martinez,bbus19,20,regular,17,2017,17,92,23,20-somethings,male,latinx,other-latinx,yes,no,,,non-lgbt,no,homestead,FL,1,no,no,92,13,,,,final,0,92,14,92,92,13.14,13.14,no,no,no,1.0,3.0,0.0,3,4.0,1,0.06,Josh Martinez
257,Paul,Abrahamian,bbus19,20,regular,17,2017,17,92,24,20-somethings,male,armenian,armenian,no,no,,,non-lgbt,no,tarzana,CA,2,no,no,92,13,,,,final,0,92,14,92,92,13.14,13.14,no,no,no,5.0,3.0,0.0,2,8.0,2,0.12,Paul Abrahamian
258,Christmas,Abbott,bbus19,20,regular,17,2017,17,92,33,30-somethings,female,white,white,no,no,,,non-lgbt,no,raleigh,NC,1,no,no,92,13,,,,yes,0,92,14,92,92,13.14,13.14,no,no,no,0.0,2.0,0.0,3,2.0,3,0.18,Christmas Abbott
259,Kevin,Schlehuber,bbus19,20,regular,17,2017,17,92,56,50+,male,white,white,no,no,,,non-lgbt,no,boston,MA,1,no,no,86,12,,,,yes,6,86,14,92,86,13.14,12.29,no,no,no,0.0,0.0,1.0,4,1.0,4,0.24,Kevin Schlehuber
260,Alex,Ow,bbus19,20,regular,17,2017,17,92,28,20-somethings,female,asian,asian,no,no,,,non-lgbt,no,camarillo,CA,1,no,no,84,12,,,,yes,8,84,14,92,84,13.14,12.0,no,no,no,1.0,3.0,0.0,4,4.0,5,0.29,Alex Ow
261,Raven,Walton,bbus19,20,regular,17,2017,17,92,23,20-somethings,female,white,white,no,no,,,non-lgbt,no,devalls bluff,AR,1,no,no,79,11,,,,yes,13,79,14,92,79,13.14,11.29,no,no,no,0.0,0.0,0.0,3,0.0,6,0.35,Raven Walton
262,Jason,Dent,bbus19,20,regular,17,2017,17,92,38,30-somethings,male,white,white,no,no,,,non-lgbt,no,humeston,IA,1,no,no,79,11,,,,yes,13,79,14,92,79,13.14,11.29,no,no,no,3.0,2.0,0.0,4,5.0,7,0.41,Jason Dent
263,Matt,Clines,bbus19,20,regular,17,2017,17,92,33,30-somethings,male,white,white,no,no,,,non-lgbt,no,arlington,VA,1,no,no,72,10,,,,yes,20,72,14,92,72,13.14,10.29,no,no,no,1.0,0.0,0.0,4,1.0,8,0.47,Matt Clines
264,Mark,Jansen,bbus19,20,regular,17,2017,17,92,26,20-somethings,male,white,white,no,no,,,non-lgbt,no,grand island,NY,1,no,no,65,9,,,,yes,27,65,14,92,65,13.14,9.29,no,no,no,2.0,0.0,3.0,3,5.0,9,0.53,Mark Jansen
265,Elena,Davies,bbus19,20,regular,17,2017,17,92,26,20-somethings,female,white,white,no,no,,,non-lgbt,no,dallas,TX,1,no,no,58,8,,,,yes,34,58,14,92,58,13.14,8.29,no,no,no,0.0,0.0,0.0,3,0.0,10,0.59,Elena Davies
266,Cody,Nickson,bbus19,20,regular,17,2017,17,92,32,30-somethings,male,white,white,no,no,,,non-lgbt,no,plano,TX,1,yes,yes,23,3,30,7,1,yes,34,58,14,92,51,13.14,7.29,yes,no,no,0.0,1.0,1.0,3,2.0,11,0.65,Cody Nickson
267,Jessica,Graf,bbus19,20,regular,17,2017,17,92,26,20-somethings,female,latinx,biracial-latinx,yes,no,,,non-lgbt,no,los angeles,CA,1,no,no,51,7,,,,no,0,51,8,51,51,7.29,7.29,no,no,no,1.0,1.0,0.0,3,2.0,12,0.71,Jessica Graf
268,Ramses,Soto,bbus19,20,regular,17,2017,17,92,21,20-somethings,male,latinx,black-latinx,yes,no,,,gay,no,grand rapids,MI,1,no,no,37,5,,,,no,0,37,6,37,37,5.29,5.29,no,no,no,0.0,0.0,0.0,2,0.0,13,0.76,Ramses Soto
269,Dominque,Cooper,bbus19,20,regular,17,2017,17,92,31,30-somethings,female,black,black,no,no,,,non-lgbt,no,woodbridge,VA,1,yes,no,30,4,30,0,0,no,0,30,5,30,30,4.29,4.29,no,no,no,0.0,0.0,0.0,1,0.0,14,0.82,Dominque Cooper
270,Jillian,Parker,bbus19,20,regular,17,2017,17,92,24,20-somethings,female,white,white,no,no,,,non-lgbt,no,las vegas,NV,1,yes,no,16,2,30,14,2,no,0,16,3,16,16,2.29,2.29,no,no,no,0.0,0.0,0.0,2,0.0,15,0.88,Jillian Parker
271,Megan,Lowder,bbus19,20,regular,17,2017,17,92,28,20-somethings,female,white,white,no,no,,,non-lgbt,no,phoenix,AZ,1,no,no,8,1,,,,no,0,8,2,8,8,1.14,1.14,no,no,yes,0.0,0.0,0.0,1,0.0,16,0.94,Megan Lowder
272,Cameron,Heard,bbus19,20,regular,17,2017,17,92,24,20-somethings,male,white,white,no,no,,,non-lgbt,no,woodbridge,IL,1,yes,no,1,0,30,29,4.142857143,no,0,1,1,1,1,0.14,0.14,no,no,no,0.0,0.0,0.0,1,0.0,17,1.0,Cameron Heard
273,Marissa,Winokur,cbbus1,21,celebrity,1,2018,11,26,45,40-somethings,female,white,white,no,no,,,non-lgbt,no,toluca lake,CA,1,no,no,26,4,,,,final,0,26,4,26,26,3.71,3.71,no,no,no,1.0,1.0,0.0,2,2.0,1,0.09,Marissa Winokur
274,Ross,Matthews,cbbus1,21,celebrity,1,2018,11,26,38,30-somethings,male,white,white,no,no,,,gay,no,palm springs,CA,1,no,no,26,4,,,,final,0,26,4,26,26,3.71,3.71,yes,no,no,2.0,3.0,0.0,3,5.0,2,0.18,Ross Matthews
275,Mark,McGrath,cbbus1,21,celebrity,1,2018,11,26,49,40-somethings,male,white,white,no,no,,,non-lgbt,no,studio city,CA,1,no,no,26,4,,,,yes,0,26,4,26,26,3.71,3.71,no,no,no,1.0,0.0,0.0,2,1.0,3,0.27,Mark McGrath
276,Ariadna,Gutierrez,cbbus1,21,celebrity,1,2018,11,26,24,20-somethings,female,latinx,other-latinx,yes,no,,,non-lgbt,no,miami,FL,1,no,no,26,4,,,,yes,0,26,4,26,26,3.71,3.71,no,no,no,1.0,1.0,0.0,3,2.0,4,0.36,Ariadna Gutierrez
277,Omarosa,Manigault,cbbus1,21,celebrity,1,2018,11,26,44,40-somethings,female,black,black,no,no,,,non-lgbt,no,jacksonville,FL,1,no,no,26,4,,,,yes,0,26,4,26,26,3.71,3.71,no,no,no,2.0,0.0,0.0,2,2.0,5,0.45,Omarosa Manigault
278,James,Maslow,cbbus1,21,celebrity,1,2018,11,26,27,20-somethings,male,white,white,no,no,,,non-lgbt,no,venice,CA,1,no,no,24,3,,,,yes,0,24,4,24,24,3.43,3.43,no,no,no,0.0,1.0,0.0,3,1.0,6,0.55,James Maslow
279,Brandi,Glanville,cbbus1,21,celebrity,1,2018,11,26,45,40-somethings,female,white,white,no,no,,,bisexual,no,los angeles,CA,1,no,no,24,3,,,,yes,0,24,4,24,24,3.43,3.43,no,no,no,0.0,0.0,0.0,2,0.0,7,0.64,Brandi Glanville
280,Metta,World Peace,cbbus1,21,celebrity,1,2018,11,26,38,30-somethings,male,black,black,no,no,,,non-lgbt,no,los angeles,CA ,1,no,no,40,6,,,,yes,0,40,6,40,40,5.71,5.71,no,no,no,0.0,0.0,0.0,1,0.0,8,0.73,Metta World Peace
281,Shannon,Elizabeth,cbbus1,21,celebrity,1,2018,11,26,44,40-somethings,female,white,white,no,no,,,non-lgbt,no,capetown,South Africa,1,no,no,17,2,,,,yes,0,17,3,17,17,2.43,2.43,no,no,no,1.0,1.0,0.0,1,2.0,9,0.82,Shannon Elizabeth
282,Keshia,Pulliam,cbbus1,21,celebrity,1,2018,11,26,38,30-somethings,female,black,black,no,no,,,non-lgbt,no,atlanta,GA,1,no,no,13,2,,,,yes,0,13,2,13,13,1.86,1.86,no,no,no,1.0,0.0,0.0,1,1.0,10,0.91,Keshia Pulliam
283,Chuck,Liddell,cbbus1,21,celebrity,1,2018,11,26,48,40-somethings,male,white,white,no,no,,,non-lgbt,no,calabasas,CA,1,no,no,10,1,,,,yes,0,10,2,10,10,1.43,1.43,no,no,no,0.0,0.0,0.0,1,0.0,11,1.0,Chuck Liddell
284,Kaycee,Clark,bbus20,22,regular,18,2018,16,99,30,30-somethings,female,asian,asian,no,no,,,lesbian,no,tempe,AZ,1,no,no,99,14,,,,final,0,99,15,99,99,14.14,14.14,n ,no,no,5.0,2.0,0.0,2,7.0,1,0.06,Kaycee Clark
285,Tyler,Crispen,bbus20,22,regular,18,2018,16,99,23,20-somethings,male,white,white,no,no,,,non-lgbt,no,hilton head,SC,1,no,no,99,14,,,,final,0,99,15,99,99,14.14,14.14,yes,no,no,3.0,3.0,0.0,3,6.0,2,0.13,Tyler Crispen
286,JC,Mounduix,bbus20,22,regular,18,2018,16,99,28,20-somethings,male,hispanic,white-latinx,yes,no,,,gay,no,west hollywood,CA,1,no,no,99,14,,,,yes,0,99,15,99,99,14.14,14.14,no,no,no,0.0,1.0,0.0,3,1.0,3,0.19,JC Mounduix
